"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"BCO BANORTE",1473,"Bancos","DIRECTIVOS AUDITORES INDEPENDENTES"
"BANCO BCN S.A.",957,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BEA",1139,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO BEG S.A.",1074,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO ECONOMICO",1244,"Bancos","MACSO LEGATE AUDITORES INDEPENDENTES"
"BANCO BMG S/A",1716,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BMG S/A",24600,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BOAVISTA INTERATLANTICO SA",850,"Bancos","RUHTRA S/C"
"BCO BOCOM BBM",930,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BONSUCESSO S/A",20869,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO BRADESCO BBI S.A.",1163,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BERJ",1201,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO BRADESCO S.A.",906,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO UBS PACTUAL S/A",22616,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CACIQUE CFI",11380,"Bancos","DIRECTA AUDITORES"
"BCO COMERCIAL BANCESA",1031,"Bancos","ERNST & YOUNG B B SOTEC SC AUD"
"BANCO COMERCIAL E DE INVESTIMENTO SUDAMERIS S.A.",787,"Bancos","RUHTRA S/C"
"BANCO CREDITO REAL DE MG",949,"Bancos","RUHTRA S/C"
"CREFISUL",795,"Bancos","AUDILINK & CIA. AUDITORES"
"BANCO DA AMAZONIA S.A.",922,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO DAYCOVAL S.A.",20796,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANCO DE PERNAMBUCO S.A. - BANDEPE",1090,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"DESENBANCO",981,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO DO BRASIL S.A.",1023,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BCO ESTADO MATO GROSSO",12467,"Bancos","MAION & OLIVEIRA, AUDITORES INDEPENDENTES S/S"
"BESC S.A.",1104,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANESPA",1112,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANESE",1120,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANPARÁ S.A.",1171,"Bancos","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"BEP",1198,"Bancos","GLOBAL AUDITORES INDEPENDENTES LTDA."
"BANRISUL S/A",1210,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANCO DO NORDESTE",1228,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO PROGRESSO",1236,"Bancos","VAZ & MAIA AUDITORES INDEPENDENTES"
"BANCO FENICIA",1252,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"FININVEST",6092,"Bancos","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"HSBC LEASING",12521,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"HSBC LEASING",19755,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO INDUSTRIAL DO BRASIL S/A",21377,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"INTERMEDIUM - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",24406,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO ITABANCO S/A",914,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO ITAU BBA  S.A.",1082,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ITAULEASING",3590,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO MERCANTIL DO BRASIL S/A",1325,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO MERCANTIL DE INVESTIMENTOS SA",1309,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO MERCANTIL DE SÃO PAULO S/A",1317,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO MODAL S.A.",25755,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"NACIONAL BANCO",1350,"Bancos","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BANCO NOSSA CAIXA S/A",19828,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO PAN SA",21199,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO PINE S/A",20567,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"CIA DE ARREND MERCANTIL RCI BRASIL",21466,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BCO REAL",1392,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANCO SAFRA",1406,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANCO SANTANDER (BRASIL) S.A.",20532,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO SANTANDER NOROESTE",1368,"Bancos","RUHTRA S/C"
"BANCO SANTANDER S.A.",868,"","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANCO SOFISA",20680,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANCO SUDAMERIS BRASIL SA",1422,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BANCO BNL DO BRASIL S.A.",1015,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCO INDUSVAL & PARTNERS",20885,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANCOCIDADE LEASING",7994,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BANEB LEASING",15628,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BANESTADO LEASING",12017,"Arrendamento Mercantil","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"BANESTADO CFI",1457,"Bancos","DIRECTA AUDITORES"
"BANESTES LEASING",15245,"Arrendamento Mercantil","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"BANESTES S/A",1155,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BANEX",8176,"Intermediação Financeira","TRS AUDITORES INDEPENDENTES"
"BANFORT",1376,"Bancos","KPMG AUDITORES ASSOCIADOS"
"BANK OF AMERICA - BRASIL S/A ( BANCO MULTIPLO )",8990,"","ERNST   WHINNEY SC"
"BANKBOSTON COMPANHIA HIPOTECÁRIA",16500,"Bancos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO BANORTE INV",1465,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANORTE CFI",1481,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANORTE CRED IMOB",1490,"Crédito Imobiliário","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANORTE LEASING",14001,"Arrendamento Mercantil","DIRECTIVOS AUDITORES INDEPENDENTES"
"BAGERGS",15822,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANRISUL S.A. ADMINISTRADORA DE CONSORCIOS",15130,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANRISUL SOLUÇÕES EM PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO",24554,"Bancos","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BANYLSA",1503,"Têxtil e Vestuário","ETCA AUDITORES E CONSULTORES"
"BAPTISTA DA SILVA",12033,"Emp. Adm. Part. - Sem Setor Principal","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BARBER GREENE",1511,"Máquinas, Equipamentos, Veículos e Peças","ARTHUR ANDERSEN BIEDERMANN A I"
"BARDELLA",1520,"Máquinas, Equipamentos, Veículos e Peças","MOREIRA ASSOCIADOS AUDITORES INDEPENDENTES S/S"
"BARI SECURITIZADORA S.A.",21920,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BARRETO DE ARAUJO",11894,"Alimentos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BASE SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.",24970,"Securitização de Recebíveis","BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA."
"BASEL PARTICIPAÇÕES S/A",21601,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES INDEPENDENTES LTDA."
"BASF",1538,"Petroquímicos e Borracha","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BATES",1546,"Embalagens","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BAUMER",1562,"Metalurgia e Siderurgia","JPPS AUDITORES INDEPENDENTES S/S LTDA."
"",23159,"Emp. Adm. Part. - Seguradoras e Corretoras","KPMG AUDITORES INDEPENDENTES LTDA."
"BB-LEASING SA ARREND MERCANTIL",13935,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BBC",892,"Emp. Adm. Part. - Sem Setor Principal","TEIXEIRA & ASSOCIADOS AUDITORES INDEPENDENTES"
"BBC LEASING",14800,"Arrendamento Mercantil","TEIXEIRA & ASSOCIADOS AUDITORES INDEPENDENTES"
"BBM LOGÍSTICA S.A.",24660,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BBV LEASING BRASIL",14842,"Arrendamento Mercantil","RUHTRA S/C"
"BCBF PARTICIPAÇÕES S.A.",24775,"Emp. Adm. Part. - Serviços médicos","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO AUXILIAR",809,"Bancos","PEAT MARWICK MITCHELL & CO"
"BCO BAMERINDUS INVS",817,"Bancos","ARTHUR YOUNG AUD ASSOCIADOS SC"
"BRADESCO INV",884,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"CEDULA CFI",2380,"Bancos","AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S"
"BCO CREDIPLAN",973,"Bancos","BIANCHESSI & CIA  AUDITORES"
"BCO INV AMER DO SUL",990,"Bancos","NARA - KOISEKI AUDITORES INDEPENDENTES"
"BCO MAISONNAVE INV",1295,"Bancos","ROBERTO DREYFUSS & CIA SC"
"BCO NACIONAL INV",1341,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BCO SAVENA",1414,"Bancos",""
"BCO SUL BRASILEIRO",1430,"Bancos",""
"BCP TELECOMUNICAÇÕES",18600,"Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BCO CRED REAL DO RS",965,"Bancos","ARTHUR ANDERSEN BIEDERMANN A I"
"BELAPART SA",16233,"Emp. Adm. Part. - Crédito Imobiliário","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BELEZA PARTICIPAÇÕES",22632,"Emp. Adm. Part. - Sem Setor Principal","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BELPRATO",13480,"Alimentos","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"BEMATECH  S/A",20656,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BEMOBI MOBILE TECH S.A.",25500,"Comunicação e Informática","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BENZENEX",1635,"Petroquímicos e Borracha","KPMG AUDITORES ASSOCIADOS"
"BERNA PARTICIPAÇÕES SA",21563,"Emp. Adm. Part. - Sem Setor Principal","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BESC LEASING",15040,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BETA",1660,"Comércio (Atacado e Varejo)","PADRAO AUDITORIA S/S"
"BETA SECURITIZADORA",19747,"Securitização de Recebíveis","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BETAPART PARTICIPAÇÕES SA",17884,"Emp. Adm. Part. - Crédito Imobiliário","BKR - LOPES, MACHADO AUDITORES"
"BETUMARCO",1678,"Construção Civil, Mat. Constr. e Decoração","PGBR RODYO'S AUDITORES INDEPENDENTES S.S."
"BFB LEASING",6203,"Arrendamento Mercantil","REVISORA NACIONAL AUD. INDEP."
"BFB LEASING",14052,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"MINAS INV CRED FIN",8796,"Bancos","RUHTRA S/C"
"BGPAR",19500,"Emp. Adm. Part. - Sem Setor Principal","EXACTO AUDITORIA LTDA."
"BHG S.A. - BRAZIL HOSPITALITY GROUP",20907,"Emp. Adm. Part. - Hospedagem e Turismo","KPMG AUDITORES INDEPENDENTES LTDA."
"BI CIA SECURITIZADORA DE CREDITOS IMOBILIARIOS",19704,"Securitização de Recebíveis","TECNOAUD AUDITORES INDEPENDENTES S/S"
"MONARK",1694,"Brinquedos e Lazer","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BIOBRÁS",1708,"Farmacêutico e Higiene","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BIOMM SA",19305,"Farmacêutico e Higiene","KPMG AUDITORES INDEPENDENTES LTDA."
"",25925,"Comunicação e Informática","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"LDC BIOENERGIA SA",22845,"Agricultura (Açúcar, Álcool e Cana)","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BIRMANN",493,"Construção Civil, Mat. Constr. e Decoração","ALEXANDRE MOREIRA DE SOUSA"
"BLAU FARMACÊUTICA S.A.",24627,"Farmacêutico e Higiene","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BLUE TECH SOLUTIONS EQI S.A.",12319,"Alimentos","CONSULT - AUDITORES INDEPENDENTES"
"BLUE TREE HOTELS",17760,"Hospedagem e Turismo","KPMG AUDITORES ASSOCIADOS"
"",26204,"Brinquedos e Lazer","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BLUM COMPANHIA DE SECURITIZAÇÃO DE CRÉDITOS S.A",23760,"Securitização de Recebíveis","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BMD LEASING",15229,"Arrendamento Mercantil","PGBR RODYO'S AUDITORES INDEPENDENTES S.S."
"BMG LEASING",1724,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BCO BARCLAYS E GALICIA",1007,"Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BNDESPAR",16772,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES INDEPENDENTES LTDA."
"BOA SAFRA SEMENTES S.A.",25704,"Alimentos","KPMG AUDITORES INDEPENDENTES LTDA."
"BOA VISTA SERVIÇOS S.A.",25135,"Comunicação e Informática","KPMG AUDITORES INDEPENDENTES LTDA."
"BOAVISTA SA ARR MERC",1759,"Arrendamento Mercantil","KPMG AUDITORES ASSOCIADOS"
"BOAVISTA SA ARR MERC",15172,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BOAVISTA",1732,"Bancos","KPMG AUDITORES ASSOCIADOS"
"BOCAIUVA TEXTIL",12270,"Têxtil e Vestuário",""
"BOLERO PARTICIPAÇÕES SA",22039,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES ASSOCIADOS"
"BOLSA DE MERCADORIAS & FUTUROS - BM&F S/A",21210,"Bolsas de Valores/Mercadorias e Futuros","KPMG AUDITORES INDEPENDENTES LTDA."
"BOMBRIL HOLDING SA",15334,"Emp. Adm. Part. - Sem Setor Principal","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"BOMBRIL SA",12190,"Farmacêutico e Higiene","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BOMPREÇO - HIPER BOMPREÇO",14435,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","DIRECTIVOS AUDITORES INDEPENDENTES"
"BOMPREÇO SUPERMERCADO",15202,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BOMPRECO TRUST",15644,"Serviços Diversos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BONAIRE",16560,"Emp. Adm. Part. - Energia Elétrica","BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA."
"BONATO",1775,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG B B SOTEC SC AUD"
"BONFIGLIOLI",1783,"Construção Civil, Mat. Constr. e Decoração",""
"BORBONITE",1791,"Petroquímicos e Borracha","MOREIRA AUDITORES BRAS ASSOC"
"BORELLA",6238,"Alimentos","JUSTUS AUDITORES INDEPENDENTES"
"BORGHOFF",1805,"Comércio (Atacado e Varejo)","MOREIRA AUDITORES BRAS ASSOC"
"BORLEM",1813,"Máquinas, Equipamentos, Veículos e Peças","KPMG AUDITORES INDEPENDENTES LTDA."
"BORRACHAS VIPAL S.A.",26980,"Petroquímicos e Borracha","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BOSFORO",14591,"Emp. Adm. Participações","KPMG AUDITORES INDEPENDENTES LTDA."
"BOSTON EXP IMP SA",16160,"Comércio Exterior","LM AUDITORES ASSOCIADOS LTDA."
"STAROUP",10987,"Têxtil e Vestuário","VETOR AUDITORES INDEPENDENTES S/S"
"BOVESPA",21164,"Bolsas de Valores/Mercadorias e Futuros","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BPMB I PARTICIPAÇÕES S.A.",23108,"Emp. Adm. Part. - Sem Setor Principal","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.",25860,"Emp. Adm. Part. - Bancos","KPMG AUDITORES INDEPENDENTES LTDA."
"BR HOME CENTERS S.A.",23710,"Construção Civil, Mat. Constr. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BR MALLS PARTICIPAÇOES S.A.",19909,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BR PROPERTIES S.A.",19925,"Emp. Adm. Part. - Sem Setor Principal","KPMG AUDITORES INDEPENDENTES LTDA."
"",23205,"Máquinas, Equipamentos, Veículos e Peças","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BRADESCO BCN LEASING",1600,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BRADESCO LEASING SA ARREND MERCANTIL",12386,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRADESCO LEASING SA ARREND MERCANTIL",17027,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRADESCO LEASING SA ARREND MERCANTIL",19640,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BRADESCO LEASING S.A. ARREND. MERCANTIL",7986,"Arrendamento Mercantil","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRADESCO LEASING S.A. ARREND. MERCANTIL",13757,"Arrendamento Mercantil","KPMG AUDITORES INDEPENDENTES LTDA."
"BRADESCO TURISMO",1848,"Hospedagem e Turismo","SOTEC AUD AUDITORES INDEP SC"
"BRADESPAR S/A",18724,"Emp. Adm. Part. - Extração Mineral","BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA."
"BRADESPLAN PARTICIPAÇÕES S.A.",18180,"Emp. Adm. Part. - Intermediação Financeira","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRAFCO SA",14478,"Comércio (Atacado e Varejo)","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRAFER",1856,"Metalurgia e Siderurgia","CASTRO SERRA NIRDO - AUDITORES INDEPENDENTES"
"ITAP",7714,"Embalagens","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRASCAN IMOBILIÁRIA S.A.",18147,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRASIL & MOVIMENTOS S/A",20109,"Máquinas, Equipamentos, Veículos e Peças","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRASILTON",1937,"Hospedagem e Turismo","AUDINORTE AUDITORES INDEPENDENTES SC"
"BRASIL BETON",13927,"Construção Civil, Mat. Constr. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRASIL BIOFUELS S.A.",27375,"Energia Elétrica","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ERON BRASILIA HOTEL",1880,"Hospedagem e Turismo","PAES DE MENEZES AUD INDEP SC"
"BRASIL FERROVIAS S.A.",17353,"Serviços Transporte e Logística","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRASIL OITICICA",13110,"Alimentos","CONTROLE AUDITORES INDEPENDENTES - EPP"
"BRASOLEO",1899,"Alimentos","AUDIMEC AUDITORES INDEPENDENTES S/S - EPP"
"PLURAL CAPITAL SECURITIZADORA S/A",22233,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"BRASIL SECURITIZADORA S.A.",24287,"Securitização de Recebíveis","AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA"
"BRASIL TECNOLOGIA E PARTICIPAÇÕES S.A.",27499,"Telecomunicações","KPMG AUDITORES INDEPENDENTES LTDA."
"BRASIL TELECOM PARTICIPAÇÕES S.A.",17680,"Emp. Adm. Part. - Telecomunicações","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRASIL TRAVEL TURISMO E PARTICIPAÇÕES S/A",22705,"Emp. Adm. Part. - Hospedagem e Turismo","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"BRASILAGRO CIA BRAS DE PROP AGRICOLAS",20036,"Agricultura (Açúcar, Álcool e Cana)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRASILIANA ENERGIA SA",19534,"Energia Elétrica","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRASILIANA PARTICIPAÇÕES S.A.",23930,"Emp. Adm. Part. - Energia Elétrica","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BRASILINVEST T",1902,"Máquinas, Equipamentos, Veículos e Peças","SOTECONTI AUDITORES INDEP SC"
"BRASILIT",1910,"Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRASILJUTA",1929,"Têxtil e Vestuário","LOUDON BLOMQUIST AUDITORES INDEPENDENTES"
"BRASIMET",1945,"Construção Civil, Mat. Constr. e Decoração","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRASKEM",4820,"Petroquímicos e Borracha","KPMG AUDITORES INDEPENDENTES LTDA."
"BRASMETAL",1961,"Emp. Adm. Participações","REVISORA NACIONAL AUD. INDEP."
"BRASMOTOR S.A",1970,"Máquinas, Equipamentos, Veículos e Peças","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BRAUSTAM HOTEIS SA",19399,"Hospedagem e Turismo","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRAVO SECURITIZADORA",19674,"Securitização de Recebíveis","KPMG AUDITORES ASSOCIADOS"
"BFG",21865,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"BRAZIL TOWER, CESSÃO DE INFRA-ESTRUTURAS S.A",27316,"Telecomunicações","KPMG AUDITORES INDEPENDENTES LTDA."
"BRAZILIAN FINANCE & REAL ESTATE S.A.",17922,"Emp. Adm. Part. - Crédito Imobiliário","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"BRAZILIAN SECURITIES CIA SECURITIZAÇÃO",18759,"Securitização de Recebíveis","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BRB",14206,"Bancos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"FIANCA CFI",6009,"Bancos","WALTER HEUER AUDITORES INDEPENDENTES"
"BRC SECURITIZADORA",20672,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"BRF S.A.",16292,"Emp. Adm. Part. - Alimentos","GRANT THORNTON AUDITORES INDEPENDENTES LTDA."
"BRINQ BANDEIRANTE",2003,"Comércio (Atacado e Varejo)","S BLEINAT & ASSOC AUD INDEP SC"
"BRINQUEDOS MIMO",2011,"Brinquedos e Lazer","RUHTRA S/C"
"",26085,"Emp. Adm. Part. - Telecomunicações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BRK AMBIENTAL - REGIÃO METROPOLITANA DE MACEIÓ S.A.",26999,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BRK AMBIENTAL PARTICIPAÇÕES S.A.",24830,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"BROOKFIELD INCORPORAÇÕES",20265,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.",19046,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"FIDES  SECURITIZADORA CRED IMOB SA",19895,"Securitização de Recebíveis","KPMG AUDITORES INDEPENDENTES LTDA."
"WTORRE SECURITIZADORA DE CRED. IMOB. SA",19372,"Securitização de Recebíveis","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
