"DENOM_COMERC","CD_CVM","SETOR_ATIV","AUDITOR"
"ARACRUZ CELULOSE SA",434,"Papel e Celulose","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ARAFERTIL",485,"Petroquímicos e Borracha","SOTEC AUD AUDITORES INDEP SC"
"ARAGUAIA",442,"Alimentos","ALMADA RODRIGUES & AUD ASSOC"
"ARAGUAIA",13161,"Extração Mineral","AICA AUDT INDEP CONS ASSER SC"
"PROSDOCIMO",9806,"Comércio (Atacado e Varejo)","KPMG AUDITORES INDEPENDENTES LTDA."
"ARAUCÁRIA PARTICIPAÇÕES SA",18651,"Emp. Adm. Part. - Sem Setor Principal","BKR - LOPES, MACHADO AUDITORES"
"ARBRA SA",14788,"Emp. Adm. Participações","ACAL CONSULTORIA E AUDITORIA S/S"
"ARCELOR BRASIL",3964,"Metalurgia e Siderurgia","KPMG AUDITORES INDEPENDENTES LTDA."
"ARCELORMITTAL INOX BRASIL S.A.",2658,"Metalurgia e Siderurgia","KPMG AUDITORES INDEPENDENTES LTDA."
"ARCON METALURGICA",507,"Metalurgia e Siderurgia","MOREIRA AUDITORES BRAS ASSOC"
"ARDOSIA PARTICIPACOE",16926,"Emp. Adm. Participações","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"AREZZO INDÚSTRIA E COMERCIO S/A",22349,"Têxtil e Vestuário","KPMG AUDITORES INDEPENDENTES LTDA."
"ARGENTUM",16888,"Emp. Adm. Participações","BOUCINHAS, CAMPOS & CONTI AUDITORES INDEPENDENTES S/S"
"ARGO ENERGIA EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",24120,"Emp. Adm. Part. - Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"ARGO TRANSMISSÃO DE ENERGIA S.A.",24210,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"ODOYÁ TRANSMISSORA DE ENERGIA S.A",26662,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"ESPERANZA TRANSMISSORA DE ENERGIA S.A.",26670,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"TRANSMISSORA JOSÉ MARIA DE MACEDO DE ELETRICIDADE S.A",26654,"Energia Elétrica","KPMG AUDITORES INDEPENDENTES LTDA."
"TECHOLD PARTICIPAÇÕES S.A.",17566,"Emp. Adm. Part. - Telecomunicações","TERCO AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES"
"ARGOLIS PARTICIPAÇÕES S/A",18341,"Emp. Adm. Part. - Telecomunicações","DIRECTA AUDITORES"
"",26069,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ARMAZENS UNIAO",515,"Serviços Transporte e Logística","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ARNO",523,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ARTEPE",531,"Outras Atividades Industriais",""
"ARTERIS",19771,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"ARTHUR LANGE",574,"Têxtil e Vestuário","V. L. CARDOSO & CIA - AUDITORES INDEPENDENTES"
"ASA BRANCA HOLDING S.A.",26514,"Emp. Adm. Part. - Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"ASBERIT",582,"Outras Atividades Industriais",""
"ASO METAL",590,"Metalurgia e Siderurgia","REYNALDO DE SOUZA MELLO"
"ATACADÃO S.A.",24171,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ATHENA SAÚDE BRASIL S.A.",25810,"Emp. Adm. Part. - Serviços médicos","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ATIVOS BRASILEIROS S.A.",22918,"Emp. Adm. Part. - Sem Setor Principal","PARANÁ AUDITORES ASSOCIADOS S/S"
"ATL",18252,"Telecomunicações","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"ATLÃNTICA EMP.",17990,"Construção Civil, Mat. Constr. e Decoração","KPMG AUDITORES INDEPENDENTES LTDA."
"ATLETAS BRASILEIROS S/A",22934,"Brinquedos e Lazer","MÜLLER & PREI AUDITORES INDEPENDENTES S/S"
"ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL",19100,"Emp. Adm. Part. - Comunicação e Informática","MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA."
"ATMA",604,"Petroquímicos e Borracha","MOORE CROSS AUDITORES INDEP SC"
"ATMOSFERA GESTÃO E HIGIENIZAÇÃO DE TÊXTEIS SA",20591,"Farmacêutico e Higiene","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",15423,"Emp. Adm. Part. - Sem Setor Principal","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"AUFERVILLE TRUST",18562,"Securitização de Recebíveis","ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA."
"AURA ALMAS MINERAÇÃO S.A.",26590,"Emp. Adm. Part. - Extração Mineral","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AUREN ENERGIA S.A",26620,"Energia Elétrica","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AUSTRAL",14656,"Emp. Adm. Participações","ACAL CONSULTORIA E AUDITORIA S/S"
"AUTEL",14419,"Máquinas, Equipamentos, Veículos e Peças","PAIVA AUDITORES INDEPENDENTES"
"AUTOMETAL S/A",22381,"Máquinas, Equipamentos, Veículos e Peças","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"",27413,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AUTOPISTA FERNÃO DIAS SA",21989,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"AUTOPISTA FLUMINENSE SA",22004,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"AUTOPISTA LITORAL SUL",21997,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"AUTOPISTA PLANALTO SUL SA",21970,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"AUTOPISTA REGIS BITTENCOURT SA",21962,"Serviços Transporte e Logística","KPMG AUDITORES INDEPENDENTES LTDA."
"AUTOTRAC",20311,"Serviços Transporte e Logística","DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA."
"AUTOVIAS S/A",21822,"Serviços Transporte e Logística","BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA"
"AUXILIAR LEASING",655,"Arrendamento Mercantil","PEAT MARWICK MITCHELL & CO"
"AUXILIAR PART",11924,"Emp. Adm. Participações",""
"TOKE INVEST SECURITIZADORA S.A.",24333,"Securitização de Recebíveis","UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES"
"AVAL SECURITIZADORA DE CREDITOS S.A.",23973,"Securitização de Recebíveis","AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA"
"AVARA",12483,"Emp. Adm. Participações","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA."
"AZEVEDO & TRAVASSOS",11975,"Construção Civil, Mat. Constr. e Decoração","TATICCA AUDITORES INDEPENDENTES S.S. - EPP"
